Name : Name of Mech | Tons: Tonnage | BV: BV | PV: PV | Role: Role
Name : Stinger STG-3Gb | Tons: 20 | BV: 674 | PV: 22 | Role: Striker
Name : Stinger STG-5M | Tons: 20 | BV: 432 | PV: 15 | Role: Scout
Name : Thorn THE-N1 | Tons: 20 | BV: 656 | PV: 14 | Role: Sniper
Name : Thorn THE-Nb | Tons: 20 | BV: 740 | PV: 23 | Role: Striker
Name : Thorn THE-S | Tons: 20 | BV: 510 | PV: 18 | Role: Striker
Name : Thorn THE-T | Tons: 20 | BV: 500 | PV: 17 | Role: Striker
Name : Wasp WSP-1D | Tons: 20 | BV: 403 | PV: 15 | Role: Scout
Name : Wasp WSP-1K | Tons: 20 | BV: 376 | PV: 14 | Role: Scout
Name : Wasp WSP-1L | Tons: 20 | BV: 335 | PV: 14 | Role: Scout
Name : Wasp WSP-1S | Tons: 20 | BV: 423 | PV: 15 | Role: Scout
Name : Wasp WSP-1W | Tons: 20 | BV: 373 | PV: 12 | Role: Scout
Name : Wasp WSP-3M | Tons: 20 | BV: 394 | PV: 12 | Role: Scout
Name : Wasp WSP-3W | Tons: 20 | BV: 342 | PV: 10 | Role: Scout
Name : Commando COM-1B | Tons: 25 | BV: 616 | PV: 17 | Role: Striker
Name : Commando COM-1C | Tons: 25 | BV: 458 | PV: 14 | Role: Striker
Name : Commando COM-3A | Tons: 25 | BV: 540 | PV: 17 | Role: Striker
Name : Commando COM-5S | Tons: 25 | BV: 557 | PV: 17 | Role: Striker
Name : Commando COM-7A | Tons: 25 | BV: 625 | PV: 20 | Role: Striker
Name : Commando COM-7J | Tons: 25 | BV: 599 | PV: 18 | Role: Striker
Name : Commando COM-7W | Tons: 25 | BV: 608 | PV: 17 | Role: Striker
Name : Commando COM-7X | Tons: 25 | BV: 623 | PV: 21 | Role: Striker
Name : Commando COM-7Y | Tons: 25 | BV: 684 | PV: 24 | Role: Striker
Name : Commando COM-7Y2 "Blazing Inferno" | Tons: 25 | BV: 728 | PV: 21 | Role: Striker
Name : Commando COM-7Z | Tons: 25 | BV: 661 | PV: 20 | Role: Striker
Name : Commando COM-7Z2 | Tons: 25 | BV: 543 | PV: 20 | Role: Scout
Name : Commando IIC   | Tons: 25 | BV: 978 | PV: 25 | Role: Striker
Name : Dart DRT-3S | Tons: 25 | BV: 436 | PV: 15 | Role: Scout
Name : Dart DRT-4S | Tons: 25 | BV: 656 | PV: 23 | Role: Scout
Name : Dart DRT-6S | Tons: 25 | BV: 641 | PV: 22 | Role: Scout
Name : Duan Gung D9-G9 | Tons: 25 | BV: 737 | PV: 24 | Role: Missile Boat
Name : Eagle EGL-1M | Tons: 25 | BV: 757 | PV: 22 | Role: Brawler
Name : Eagle EGL-2M | Tons: 25 | BV: 800 | PV: 21 | Role: Brawler
Name : Fire Falcon A | Tons: 25 | BV: 822 | PV: 27 | Role: Striker
Name : Fire Falcon B | Tons: 25 | BV: 1,570 | PV: 28 | Role: Sniper
Name : Fire Falcon C | Tons: 25 | BV: 1,004 | PV: 34 | Role: Striker
Name : Fire Falcon D | Tons: 25 | BV: 826 | PV: 27 | Role: Striker
Name : Fire Falcon E | Tons: 25 | BV: 1,094 | PV: 27 | Role: Striker
Name : Fire Falcon Prime | Tons: 25 | BV: 1,451 | PV: 40 | Role: Striker
Name : Icestorm   | Tons: 25 | BV: 728 | PV: 20 | Role: Scout
Name : Jackrabbit JKR-8T | Tons: 25 | BV: 414 | PV: 14 | Role: Sniper
Name : Jackrabbit JKR-9R "Joker" | Tons: 25 | BV: 614 | PV: 20 | Role: Striker
Name : Koshi (Mist Lynx) A | Tons: 25 | BV: 608 | PV: 18 | Role: Scout
Name : Koshi (Mist Lynx) B | Tons: 25 | BV: 1,209 | PV: 35 | Role: Striker
Name : Koshi (Mist Lynx) C | Tons: 25 | BV: 1,320 | PV: 29 | Role: Striker
Name : Koshi (Mist Lynx) D | Tons: 25 | BV: 842 | PV: 25 | Role: Striker
Name : Koshi (Mist Lynx) E | Tons: 25 | BV: 997 | PV: 32 | Role: Striker
Name : Koshi (Mist Lynx) H | Tons: 25 | BV: 982 | PV: 32 | Role: Striker
Name : Koshi (Mist Lynx) P | Tons: 25 | BV: 1,064 | PV: 23 | Role: Scout
Name : Koshi (Mist Lynx) Prime | Tons: 25 | BV: 871 | PV: 27 | Role: Scout
Name : Koto KT-P2 | Tons: 25 | BV: 631 | PV: 21 | Role: Scout
Name : Locust IIC   | Tons: 25 | BV: 1,100 | PV: 42 | Role: Striker
Name : Locust IIC 2 | Tons: 25 | BV: 937 | PV: 32 | Role: Striker
Name : Locust IIC 3 | Tons: 25 | BV: 980 | PV: 28 | Role: Striker
Name : Locust IIC 5 | Tons: 25 | BV: 878 | PV: 27 | Role: Striker
Name : Mongoose C | Tons: 25 | BV: 1,386 | PV: 34 | Role: Scout
Name : Mongoose C 2 | Tons: 25 | BV: 1,620 | PV: 36 | Role: Scout
Name : Mongoose MON-66 | Tons: 25 | BV: 758 | PV: 30 | Role: Scout
Name : Mongoose MON-66b | Tons: 25 | BV: 934 | PV: 30 | Role: Striker
Name : Mongoose MON-67 | Tons: 25 | BV: 741 | PV: 27 | Role: Striker
Name : Mongoose MON-68 | Tons: 25 | BV: 676 | PV: 21 | Role: Scout
Name : Mongoose MON-69 | Tons: 25 | BV: 737 | PV: 27 | Role: Striker
Name : Mongoose MON-70 | Tons: 25 | BV: 750 | PV: 27 | Role: Striker
Name : Nexus NXS1-A | Tons: 25 | BV: 643 | PV: 22 | Role: Striker
Name : Raptor RTX1-O | Tons: 25 | BV: 721 | PV: 24 | Role: Missile Boat
Name : Raptor RTX1-OA | Tons: 25 | BV: 783 | PV: 22 | Role: Striker
Name : Raptor RTX1-OB | Tons: 25 | BV: 613 | PV: 26 | Role: Striker
Name : Raptor RTX1-OC | Tons: 25 | BV: 870 | PV: 28 | Role: Striker
Name : Raptor RTX1-OD | Tons: 25 | BV: 490 | PV: 28 | Role: Striker
Name : Raptor RTX1-OE | Tons: 25 | BV: 597 | PV: 22 | Role: Striker
Name : Raptor RTX1-OF | Tons: 25 | BV: 1,029 | PV: 27 | Role: Striker
Name : Sling SL-1G | Tons: 25 | BV: 578 | PV: 19 | Role: Missile Boat
Name : Sling SL-1H | Tons: 25 | BV: 731 | PV: 26 | Role: Striker
Name : Tarantula ZPH-1 | Tons: 25 | BV: 666 | PV: 22 | Role: Scout
Name : Tarantula ZPH-2A | Tons: 25 | BV: 744 | PV: 22 | Role: Scout
Name : Arctic Fox AF1 | Tons: 30 | BV: 983 | PV: 25 | Role: Striker
Name : Arctic Fox AF1A | Tons: 30 | BV: 858 | PV: 24 | Role: Striker
Name : Arctic Fox AF1B | Tons: 30 | BV: 735 | PV: 20 | Role: Striker
Name : Arctic Fox AF1C | Tons: 30 | BV: 948 | PV: 20 | Role: Striker
Name : Arctic Fox AF1D | Tons: 30 | BV: 744 | PV: 21 | Role: Missile Boat
Name : Battle Hawk BH-K305 | Tons: 30 | BV: 771 | PV: 24 | Role: Striker
Name : Copperhead CPR-HD-002 | Tons: 30 | BV: 763 | PV: 24 | Role: Striker
Name : Devil   | Tons: 30 | BV: 1,691 | PV: 33 | Role: Sniper
Name : Drift Shag   | Tons: 30 | BV: 1,512 | PV: 38 | Role: Scout
Name : Falcon FLC-4N | Tons: 30 | BV: 610 | PV: 19 | Role: Scout
Name : Falcon FLC-4Nb | Tons: 30 | BV: 947 | PV: 22 | Role: Striker
Name : Falcon FLC-4Nb (Saho) | Tons: 30 | BV: 774 | PV: 22 | Role: Striker
Name : Falcon FLC-4Nb-PP | Tons: 30 | BV: 881 | PV: 23 | Role: Striker
Name : Falcon FLC-4Nb-PP2 | Tons: 30 | BV: 947 | PV: 23 | Role: Striker
Name : Falcon FLC-4P | Tons: 30 | BV: 649 | PV: 20 | Role: Scout
Name : Firefly C | Tons: 30 | BV: 1,290 | PV: 33 | Role: Striker
Name : Firefly FFL-3A | Tons: 30 | BV: 797 | PV: 24 | Role: Striker
Name : Firefly FFL-3PP | Tons: 30 | BV: 888 | PV: 27 | Role: Striker
Name : Firefly FFL-3PP2 | Tons: 30 | BV: 873 | PV: 23 | Role: Striker
Name : Firefly FFL-3PP3 | Tons: 30 | BV: 808 | PV: 21 | Role: Striker
Name : Firefly FFL-3SLE | Tons: 30 | BV: 876 | PV: 25 | Role: Striker
Name : Firefly FFL-4A | Tons: 30 | BV: 831 | PV: 22 | Role: Striker
Name : Firefly FFL-4B | Tons: 30 | BV: 870 | PV: 23 | Role: Striker
Name : Firefly FFL-4C | Tons: 30 | BV: 806 | PV: 25 | Role: Striker
Name : Flashfire FLS-P2 | Tons: 30 | BV: 718 | PV: 22 | Role: Striker
Name : Flashfire FLS-P4 | Tons: 30 | BV: 712 | PV: 22 | Role: Striker
Name : Hammer HMR-3C "Claw-Hammer" | Tons: 30 | BV: 976 | PV: 30 | Role: Striker
Name : Hammer HMR-3M | Tons: 30 | BV: 787 | PV: 26 | Role: Striker
Name : Hammer HMR-3P "Pein-Hammer" | Tons: 30 | BV: 827 | PV: 26 | Role: Brawler
Name : Hammer HMR-3S "Slammer" | Tons: 30 | BV: 638 | PV: 22 | Role: Striker
Name : Hankyu (Arctic Cheetah) A | Tons: 30 | BV: 1,117 | PV: 32 | Role: Striker
Name : Hankyu (Arctic Cheetah) B | Tons: 30 | BV: 1,076 | PV: 28 | Role: Striker
Name : Hankyu (Arctic Cheetah) C | Tons: 30 | BV: 1,840 | PV: 37 | Role: Striker
Name : Hankyu (Arctic Cheetah) D | Tons: 30 | BV: 1,080 | PV: 30 | Role: Missile Boat
Name : Hankyu (Arctic Cheetah) Prime | Tons: 30 | BV: 1,334 | PV: 36 | Role: Striker
Name : Hellion A | Tons: 30 | BV: 1,543 | PV: 39 | Role: Missile Boat
Name : Hellion B | Tons: 30 | BV: 1,569 | PV: 38 | Role: Striker
Name : Hellion C | Tons: 30 | BV: 2,095 | PV: 43 | Role: Striker
Name : Hellion Prime | Tons: 30 | BV: 1,873 | PV: 43 | Role: Striker
Name : Hermes HER-1A | Tons: 30 | BV: 601 | PV: 21 | Role: Scout
Name : Hermes HER-1B | Tons: 30 | BV: 687 | PV: 25 | Role: Striker
Name : Hermes HER-1S | Tons: 30 | BV: 716 | PV: 25 | Role: Scout
Name : Hermes HER-1Sb | Tons: 30 | BV: 1,112 | PV: 37 | Role: Striker
Name : Hermes HER-3S | Tons: 30 | BV: 649 | PV: 22 | Role: Scout
Name : Hermes HER-3S1 | Tons: 30 | BV: 726 | PV: 21 | Role: Scout
Name : Hermes HER-3S2 | Tons: 30 | BV: 600 | PV: 22 | Role: Scout
Name : Hermes HER-4K | Tons: 30 | BV: 1,470 | PV: 36 | Role: Striker
Name : Hermes HER-4M | Tons: 30 | BV: 1,362 | PV: 36 | Role: Striker
Name : Hermes HER-4S | Tons: 30 | BV: 1,012 | PV: 31 | Role: Striker
Name : Hitman HM-1 | Tons: 30 | BV: 925 | PV: 32 | Role: Striker
Name : Hitman HM-2 | Tons: 30 | BV: 861 | PV: 33 | Role: Striker
Name : Hussar HSR-200-D | Tons: 30 | BV: 636 | PV: 18 | Role: Scout
Name : Hussar HSR-200-Db | Tons: 30 | BV: 934 | PV: 26 | Role: Scout
Name : Hussar HSR-300-D | Tons: 30 | BV: 543 | PV: 17 | Role: Scout
Name : Hussar HSR-350-D | Tons: 30 | BV: 731 | PV: 22 | Role: Striker
Name : Hussar HSR-400-D | Tons: 30 | BV: 611 | PV: 18 | Role: Scout
Name : Hussar HSR-500-D | Tons: 30 | BV: 977 | PV: 24 | Role: Scout
Name : Jackal JA-KL-1532 | Tons: 30 | BV: 918 | PV: 23 | Role: Striker
Name : Javelin JVN-10A | Tons: 30 | BV: 653 | PV: 17 | Role: Striker
Name : Javelin JVN-10F "Fire Javelin" | Tons: 30 | BV: 835 | PV: 22 | Role: Striker
Name : Javelin JVN-10N | Tons: 30 | BV: 594 | PV: 19 | Role: Striker
Name : Javelin JVN-10P | Tons: 30 | BV: 590 | PV: 19 | Role: Striker
Name : Javelin JVN-11A "Fire Javelin" | Tons: 30 | BV: 1,073 | PV: 30 | Role: Striker
Name : Javelin JVN-11B | Tons: 30 | BV: 678 | PV: 26 | Role: Striker
Name : Mandrill   | Tons: 30 | BV: 1,209 | PV: 25 | Role: Missile Boat
Name : Mantis MTS-S | Tons: 30 | BV: 1,128 | PV: 36 | Role: Striker
Name : Mantis SA-MN | Tons: 30 | BV: 704 | PV: 25 | Role: Scout
Name : Pack Hunter   | Tons: 30 | BV: 1,369 | PV: 27 | Role: Striker
Name : Scarabus SCB-9A | Tons: 30 | BV: 846 | PV: 27 | Role: Scout
Name : Scarabus SCB-9T | Tons: 30 | BV: 949 | PV: 28 | Role: Scout
Name : Spider SDR-5D | Tons: 30 | BV: 524 | PV: 21 | Role: Scout
Name : Spider SDR-5K | Tons: 30 | BV: 503 | PV: 21 | Role: Scout
Name : Spider SDR-5V | Tons: 30 | BV: 622 | PV: 21 | Role: Scout
Name : Spider SDR-7M | Tons: 30 | BV: 621 | PV: 26 | Role: Striker
Name : Spider SDR-8M | Tons: 30 | BV: 621 | PV: 26 | Role: Striker
Name : Spider SDR-C | Tons: 30 | BV: 616 | PV: 28 | Role: Striker
Name : SuburbanMech UM-R100 | Tons: 30 | BV: 915 | PV: 20 | Role: Sniper
Name : SuburbanMech UM-R90 | Tons: 30 | BV: 773 | PV: 19 | Role: Ambusher
Name : Uller (Kit Fox) A | Tons: 30 | BV: 1,310 | PV: 26 | Role: Sniper
Name : Uller (Kit Fox) B | Tons: 30 | BV: 1,087 | PV: 30 | Role: Striker
Name : Uller (Kit Fox) C | Tons: 30 | BV: 1,147 | PV: 27 | Role: Striker
Name : Uller (Kit Fox) D | Tons: 30 | BV: 1,142 | PV: 30 | Role: Missile Boat
Name : Uller (Kit Fox) E | Tons: 30 | BV: 1,415 | PV: 26 | Role: Striker
Name : Uller (Kit Fox) G | Tons: 30 | BV: 1,368 | PV: 30 | Role: Sniper
Name : Uller (Kit Fox) H | Tons: 30 | BV: 1,214 | PV: 30 | Role: Striker
Name : Uller (Kit Fox) J | Tons: 30 | BV: 1,178 | PV: 25 | Role: Striker
Name : Uller (Kit Fox) Prime | Tons: 30 | BV: 1,085 | PV: 26 | Role: Sniper
Name : Uller (Kit Fox) S | Tons: 30 | BV: 1,342 | PV: 27 | Role: Striker
Name : Uller (Kit Fox) V | Tons: 30 | BV: 974 | PV: 28 | Role: Missile Boat
Name : Uller (Kit Fox) W | Tons: 30 | BV: 1,431 | PV: 28 | Role: Sniper
Name : UrbanMech IIC   | Tons: 30 | BV: 798 | PV: 20 | Role: Sniper
Name : UrbanMech UM-R60 | Tons: 30 | BV: 504 | PV: 11 | Role: Ambusher
Name : UrbanMech UM-R60L | Tons: 30 | BV: 470 | PV: 11 | Role: Ambusher
Name : UrbanMech UM-R63 | Tons: 30 | BV: 540 | PV: 16 | Role: Sniper
Name : Valkyrie VLK-QA | Tons: 30 | BV: 723 | PV: 22 | Role: Missile Boat
Name : Valkyrie VLK-QD | Tons: 30 | BV: 807 | PV: 25 | Role: Missile Boat
Name : Valkyrie VLK-QF | Tons: 30 | BV: 653 | PV: 19 | Role: Missile Boat
Name : Vixen (Incubus)   | Tons: 30 | BV: 1,596 | PV: 38 | Role: Striker
Name : Vixen (Incubus) 2 | Tons: 30 | BV: 1,913 | PV: 38 | Role: Striker
Name : Vixen (Incubus) 3 | Tons: 30 | BV: 1,324 | PV: 36 | Role: Striker
Name : Vixen (Incubus) 7 | Tons: 30 | BV: 1,175 | PV: 32 | Role: Striker
Name : Vixen (Incubus) 8 | Tons: 30 | BV: 1,557 | PV: 38 | Role: Striker
Name : Cougar A | Tons: 35 | BV: 1,697 | PV: 40 | Role: Missile Boat
Name : Cougar B | Tons: 35 | BV: 1,774 | PV: 33 | Role: Sniper
Name : Cougar C | Tons: 35 | BV: 1,785 | PV: 35 | Role: Brawler
Name : Cougar D | Tons: 35 | BV: 1,309 | PV: 33 | Role: Sniper
Name : Cougar H | Tons: 35 | BV: 1,323 | PV: 33 | Role: Brawler
Name : Cougar Prime | Tons: 35 | BV: 1,485 | PV: 31 | Role: Sniper
Name : Falcon Hawk FNHK-9K | Tons: 35 | BV: 1,030 | PV: 27 | Role: Brawler
Name : Falcon Hawk FNHK-9K1A | Tons: 35 | BV: 1,040 | PV: 27 | Role: Brawler
Name : Firestarter FS9-H | Tons: 35 | BV: 694 | PV: 20 | Role: Scout
Name : Firestarter FS9-M "Mirage" | Tons: 35 | BV: 798 | PV: 21 | Role: Scout
Name : Firestarter FS9-S | Tons: 35 | BV: 754 | PV: 23 | Role: Scout
Name : Firestarter FS9-S1 | Tons: 35 | BV: 820 | PV: 22 | Role: Scout
Name : Garm GRM-01A | Tons: 35 | BV: 701 | PV: 17 | Role: Missile Boat
Name : Garm GRM-01B | Tons: 35 | BV: 934 | PV: 23 | Role: Missile Boat
Name : Hollander BZK-F3 | Tons: 35 | BV: 953 | PV: 20 | Role: Sniper
Name : Hollander BZK-G1 | Tons: 35 | BV: 873 | PV: 24 | Role: Striker
Name : Jenner IIC   | Tons: 35 | BV: 1,047 | PV: 29 | Role: Striker
Name : Jenner IIC 2 | Tons: 35 | BV: 1,406 | PV: 26 | Role: Striker
Name : Jenner IIC 3 | Tons: 35 | BV: 788 | PV: 25 | Role: Striker
Name : Jenner IIC 4 | Tons: 35 | BV: 1,052 | PV: 24 | Role: Striker
Name : Jenner JR7-A | Tons: 35 | BV: 712 | PV: 20 | Role: Scout
Name : Jenner JR7-C | Tons: 35 | BV: 832 | PV: 28 | Role: Striker
Name : Jenner JR7-D | Tons: 35 | BV: 875 | PV: 26 | Role: Striker
Name : Jenner JR7-F | Tons: 35 | BV: 1,011 | PV: 32 | Role: Striker
Name : Jenner JR7-F (Smith) | Tons: 35 | BV: 1,070 | PV: 33 | Role: Striker
Name : Jenner JR7-K | Tons: 35 | BV: 889 | PV: 26 | Role: Striker
Name : Jenner JR7-K (Samuli) | Tons: 35 | BV: 1,001 | PV: 26 | Role: Missile Boat
Name : Longshot LNG-1B | Tons: 35 | BV: 899 | PV: 33 | Role: Striker
Name : Night Hawk NTK-2Q | Tons: 35 | BV: 997 | PV: 27 | Role: Striker
Name : Night Hawk NTK-2S | Tons: 35 | BV: 1,017 | PV: 28 | Role: Striker
Name : Ostscout OTT-7J | Tons: 35 | BV: 596 | PV: 21 | Role: Scout
Name : Ostscout OTT-7Jb | Tons: 35 | BV: 610 | PV: 24 | Role: Scout
Name : Ostscout OTT-7K | Tons: 35 | BV: 484 | PV: 18 | Role: Scout
Name : Owens OW-1 | Tons: 35 | BV: 839 | PV: 38 | Role: Missile Boat
Name : Owens OW-1A | Tons: 35 | BV: 680 | PV: 32 | Role: Scout
Name : Owens OW-1B | Tons: 35 | BV: 752 | PV: 33 | Role: Scout
Name : Owens OW-1C | Tons: 35 | BV: 964 | PV: 36 | Role: Striker
Name : Owens OW-1D | Tons: 35 | BV: 655 | PV: 32 | Role: Scout
Name : Owens OW-1E | Tons: 35 | BV: 833 | PV: 36 | Role: Striker
Name : Panther PNT-10K | Tons: 35 | BV: 838 | PV: 19 | Role: Brawler
Name : Panther PNT-10KA | Tons: 35 | BV: 797 | PV: 19 | Role: Brawler
Name : Panther PNT-8Z | Tons: 35 | BV: 741 | PV: 20 | Role: Brawler
Name : Panther PNT-9ALAG | Tons: 35 | BV: 804 | PV: 22 | Role: Striker
Name : Panther PNT-9R | Tons: 35 | BV: 769 | PV: 19 | Role: Brawler
Name : Panther PNT-9R (Tanaka) | Tons: 35 | BV: 759 | PV: 18 | Role: Brawler
Name : Panther PNT-C | Tons: 35 | BV: 833 | PV: 21 | Role: Brawler
Name : Panther PNT-CA | Tons: 35 | BV: 787 | PV: 21 | Role: Brawler
Name : Panther PNT-CM | Tons: 35 | BV: 726 | PV: 23 | Role: Sniper
Name : Peregrine (Horned Owl)   | Tons: 35 | BV: 1,434 | PV: 28 | Role: Striker
Name : Peregrine (Horned Owl) 2 | Tons: 35 | BV: 1,191 | PV: 26 | Role: Missile Boat
Name : Peregrine (Horned Owl) 3 | Tons: 35 | BV: 1,545 | PV: 28 | Role: Sniper
Name : Puma (Adder) A | Tons: 35 | BV: 1,437 | PV: 35 | Role: Missile Boat
Name : Puma (Adder) B | Tons: 35 | BV: 1,422 | PV: 28 | Role: Sniper
Name : Puma (Adder) C | Tons: 35 | BV: 1,372 | PV: 31 | Role: Missile Boat
Name : Puma (Adder) D | Tons: 35 | BV: 1,255 | PV: 28 | Role: Sniper
Name : Puma (Adder) E | Tons: 35 | BV: 1,272 | PV: 31 | Role: Sniper
Name : Puma (Adder) H | Tons: 35 | BV: 1,453 | PV: 28 | Role: Brawler
Name : Puma (Adder) Prime | Tons: 35 | BV: 2,083 | PV: 30 | Role: Sniper
Name : Puma (Adder) S | Tons: 35 | BV: 1,427 | PV: 38 | Role: Scout
Name : Puma (Adder) TC | Tons: 35 | BV: 1,247 | PV: 30 | Role: Striker
Name : Rattlesnake JR7-31 | Tons: 35 | BV: 1,398 | PV: 42 | Role: Striker
Name : Rattlesnake JR7-31P | Tons: 35 | BV: 1,323 | PV: 43 | Role: Striker
Name : Raven RVN-2X | Tons: 35 | BV: 887 | PV: 22 | Role: Striker
Name : Raven RVN-3L | Tons: 35 | BV: 708 | PV: 26 | Role: Scout
Name : Raven RVN-3M | Tons: 35 | BV: 659 | PV: 20 | Role: Missile Boat
Name : Raven RVN-4X | Tons: 35 | BV: 820 | PV: 24 | Role: Striker
Name : Spector SPR-5F | Tons: 35 | BV: 1,183 | PV: 33 | Role: Striker
Name : Stiletto STO-4A | Tons: 35 | BV: 859 | PV: 32 | Role: Striker
Name : Talon TLN-5V | Tons: 35 | BV: 1,075 | PV: 31 | Role: Striker
Name : Talon TLN-5W | Tons: 35 | BV: 1,175 | PV: 31 | Role: Striker
Name : Venom SDR-9K | Tons: 35 | BV: 798 | PV: 25 | Role: Striker
Name : Venom SDR-9KA | Tons: 35 | BV: 865 | PV: 27 | Role: Striker
Name : Venom SDR-9KB | Tons: 35 | BV: 769 | PV: 28 | Role: Striker
Name : Wolfhound IIC "Grinner" | Tons: 35 | BV: 1,579 | PV: 33 | Role: Striker
Name : Wolfhound WLF-1 | Tons: 35 | BV: 949 | PV: 24 | Role: Striker
Name : Wolfhound WLF-1A | Tons: 35 | BV: 967 | PV: 24 | Role: Striker
Name : Wolfhound WLF-1B | Tons: 35 | BV: 967 | PV: 24 | Role: Striker
Name : Wolfhound WLF-2 | Tons: 35 | BV: 1,061 | PV: 28 | Role: Striker
Name : Arctic Wolf   | Tons: 40 | BV: 1,330 | PV: 39 | Role: Striker
Name : Arctic Wolf 2 | Tons: 40 | BV: 1,511 | PV: 41 | Role: Striker
Name : Assassin ASN-101 | Tons: 40 | BV: 757 | PV: 23 | Role: Scout
Name : Assassin ASN-21 | Tons: 40 | BV: 749 | PV: 22 | Role: Scout
Name : Assassin ASN-23 | Tons: 40 | BV: 740 | PV: 26 | Role: Striker
Name : Battle Cobra A | Tons: 40 | BV: 1,466 | PV: 33 | Role: Striker
Name : Battle Cobra B | Tons: 40 | BV: 1,892 | PV: 32 | Role: Sniper
Name : Battle Cobra F | Tons: 40 | BV: 1,507 | PV: 29 | Role: Striker
Name : Battle Cobra H | Tons: 40 | BV: 1,592 | PV: 34 | Role: Striker
Name : Battle Cobra Prime | Tons: 40 | BV: 1,487 | PV: 31 | Role: Sniper
Name : Cicada CDA-2A | Tons: 40 | BV: 659 | PV: 22 | Role: Scout
Name : Cicada CDA-2B | Tons: 40 | BV: 626 | PV: 22 | Role: Scout
Name : Cicada CDA-3C | Tons: 40 | BV: 771 | PV: 22 | Role: Scout
Name : Cicada CDA-3F | Tons: 40 | BV: 1,329 | PV: 32 | Role: Striker
Name : Cicada CDA-3G | Tons: 40 | BV: 1,270 | PV: 35 | Role: Striker
Name : Cicada CDA-3M | Tons: 40 | BV: 812 | PV: 25 | Role: Striker
Name : Clint CLNT-1-2R | Tons: 40 | BV: 707 | PV: 19 | Role: Striker
Name : Clint CLNT-2-3T | Tons: 40 | BV: 770 | PV: 21 | Role: Striker
Name : Clint CLNT-2-3T (Denton) | Tons: 40 | BV: 873 | PV: 20 | Role: Striker
Name : Clint CLNT-2-3U | Tons: 40 | BV: 1,081 | PV: 22 | Role: Striker
